CVE ID,Severity,CVSS,EPSS %,Risk Score,SSVC Priority,SSVC Notation,Title,Vendors,Published
CVE-2024-12987,HIGH,7.3,99.27,83,ACT,A/Y/T,DrayTek Vigor2960/Vigor300B Web Management Interface apmcfgupload os command injection,Draytek,2024-12-27
CVE-2024-5932,CRITICAL,10.0,99.904,79,ATTEND,P/Y/T,GiveWP – Donation Plugin and Fundraising Platform <= 3.14.1 - Unauthenticated PHP Object Injection to Remote Code Execution,"Webdevmattcrom, WordPress",2024-08-20
CVE-2024-31982,CRITICAL,10.0,99.941,79,ATTEND,P/Y/T,XWiki Platform: Remote code execution as guest via DatabaseSearch,"The, Unless, Xwiki",2024-04-10
CVE-2024-28995,HIGH,8.6,99.962,79,ATTEND,A/Y/P,SolarWinds Serv-U L Directory Transversal Vulnerability ,Solarwinds,2024-06-06
CVE-2024-2389,CRITICAL,10.0,99.959,79,ATTEND,P/Y/T,Flowmon Unauthenticated Command Injection Vulnerability,Progress Software,2024-04-02
CVE-2024-24919,HIGH,8.6,99.949,79,ATTEND,A/Y/P,Information disclosure,Checkpoint,2024-05-28
CVE-2025-47916,CRITICAL,10.0,99.457,78,ATTEND,P/Y/T,CVE-2025-47916: Invision Community 5.0.0 before 5.0.7 allows remote code execution via crafted template strings to t...,"Invisioncommunity, Template",2025-05-16
CVE-2025-24893,CRITICAL,9.8,99.883,78,ATTEND,P/Y/T,Remote code execution as guest via SolrSearchMacros request in xwiki,Xwiki,2025-02-20
CVE-2025-1974,CRITICAL,9.8,99.43,78,ATTEND,P/Y/T,ingress-nginx admission controller RCE escalation,Kubernetes,2025-03-24
CVE-2025-30066,HIGH,8.6,99.458,78,ATTEND,A/Y/P,CVE-2025-30066: tj-actions changed-files before 46 allows remote attackers to discover secrets by reading actions lo...,Tj-actions,2025-03-15
CVE-2024-8517,CRITICAL,9.8,99.745,78,ATTEND,P/Y/T,SPIP Bigup Multipart File Upload OS Command Injection,Spip,2024-09-06
CVE-2024-39914,CRITICAL,9.8,99.809,78,ATTEND,P/Y/T, FOG has a command injection in /fog/management/export.php?filename=,Fogproject,2024-07-12
CVE-2024-23917,CRITICAL,9.8,99.977,78,ATTEND,P/Y/T,CVE-2024-23917: In JetBrains TeamCity before 2023.11.3 authentication bypass leading to RCE was possible...,Jetbrains,2024-02-06
CVE-2024-31849,CRITICAL,9.8,99.658,78,ATTEND,P/Y/T,CVE-2024-31849: A path traversal vulnerability exists in the Java version of CData Connect < 23.4.8846 when running ...,"Cdata, Jetty",2024-04-05
CVE-2024-31848,CRITICAL,9.8,99.824,78,ATTEND,P/Y/T,CVE-2024-31848: A path traversal vulnerability exists in the Java version of CData API Server < 23.4.8844 when runni...,"Api, Cdata, Jetty",2024-04-05
CVE-2024-7332,CRITICAL,9.8,99.674,78,ATTEND,P/Y/T,TOTOLINK CP450 Telnet Service product.ini hard-coded password,Totolink,2024-08-01
CVE-2024-6782,CRITICAL,9.8,99.863,78,ATTEND,P/Y/T,Calibre Remote Code Execution,Calibre,2024-08-06
CVE-2024-50498,CRITICAL,10.0,99.741,78,ATTEND,P/Y/T,WordPress WP Query Console plugin <= 1.0 - Remote Code Execution (RCE) vulnerability,"Lubus, WordPress",2024-10-28
CVE-2024-49112,CRITICAL,9.8,99.409,78,ATTEND,P/Y/T,Windows Lightweight Directory Access Protocol (LDAP) Remote Code Execution Vulnerability,Microsoft,2024-12-10
CVE-2024-25600,CRITICAL,10.0,99.838,78,ATTEND,P/Y/T,WordPress Bricks Theme <= 1.9.6 - Unauthenticated Remote Code Execution (RCE) vulnerability,"Codeer Limited, WordPress",2024-06-04
CVE-2024-38063,CRITICAL,9.8,99.622,78,ATTEND,P/Y/T,Windows TCP/IP Remote Code Execution Vulnerability,Microsoft,2024-08-13
CVE-2024-32651,CRITICAL,10.0,99.718,78,ATTEND,P/Y/T,Server Side Template Injection in Jinja2 allows Remote Command Execution,"Dgtlmoon, The",2024-04-25
